Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
923,16,0.2293,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",대한민국 국민은 원숭이,영아수당 지급
263,16,0.1534,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",삽질한다 ㅉㅉ 저출산 예산으로  지난 수십년간 돈을 수백조 써제꼈는데 출산률이 계속 하락했다면 이제 이게 삽질이구나 느껴야 정상 아닌가 더구나 지난 문재앙 정권이 집값에 전월세까지 폭등시키자 출산률이 급격히 폭망한거 보면 답이 뻔한데도 정치인들이란 것들은 나라 망하던 말던 표 계산이나 하지 절대로 국가의 미래는 신경 안쓴다는 증거다 특히 문재앙이라는 악마는 평 임대주택이면 아이 명 낳고 인가족이 충분히 안락하게 거주할 수 있다고 했지 차라리 그 돈으로 아파트나 지어서 집값이나 폭락시켜라 출산률 급등할거다,영아수당 지급
330,16,0.1414,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",명얼마 명얼마 명얼마 명얼마 명 얼마 이케줘야지 ㅡㅡ,영아수당 지급
1578,16,0.1368,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",실망이네요 정치인 오세훈 무상급식 안된다고 하시던분이 돈을 못퍼줘서 난리네요 이런 해괴망측한건 뭥미 그냥 돈을 퍼주세요 정치인들 저 버릇은 더듬다가골비어서정신줄놓은 민주당운동권떨거지들이 돈풀어 총선이긴 다음부터 이모양임 세금을 본인 정치자금으로 활용하지마라 부끄럽지도 않냐,영아수당 지급
366,16,0.1366,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",이걸  어떻게  확인해서  줄건대,영아수당 지급
470,16,0.1318,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",보육원에서 독립하는 애들은 달랑 만원 줘서 내쫓고 멀쩡한 보호자 있는 신생아한테는 매달 씩,영아수당 지급
892,16,0.1277,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",지역화폐 살려라 나한테는 정작 실이익 하나도 없네 저소득층 지원하려면 좀 팍팍줘라 눈꼽가지고 애를 어캐 키웁니까 애기 어리면 일을 못합니다,영아수당 지급
1558,16,0.1257,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",하는짓마다 개판이네 돈퍼주는거밖에 없네,영아수당 지급
234,16,0.1255,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",세 세가 문제가 아니라 초등이후가 문제인데ㅡㅡ,영아수당 지급
267,16,0.1239,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",이게 문제가 아니다 배가부르고 살만하니까 자식 출산안하고 혼자사는거다 옛날에는 돈이 많아서 출산 마니했나출산하고 일할꺼 다했다 복지가 없어도,영아수당 지급
765,16,0.121,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",이렇게 돈 쓴다고 출산율이 올라가지 않을텐데,영아수당 지급
946,16,0.119,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",아무 생각없이 돈 막써젝끼라 나라가 개망한다,영아수당 지급
641,16,0.1186,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",허경영이 하라는대로해라출산 는다,영아수당 지급
1339,16,0.1163,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",자립수당은 또 머냐일해서 돈벌 생각해야지이러니깐  자꾸 부모한테 의지할려구하지,영아수당 지급
488,16,0.1149,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",그 돈 준다고 아이 낳겠나국공립 어린이집  직장어린이집  등   인프라에  투자하고초 중 고  학교에  투자를  더 해라아이를  잘  키울 수 있는  환경을 만들어 줘야지,영아수당 지급
97,16,0.1145,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",출산 안하는 이유를 결혼도 하지않고 심지어 연애도 못하는 애들이 주절거리는 모습이 보기 참 싫네 집값 남녀평등 짖어대면서 낳지 않을거면 낳지마 변명을 왜이리 주절주절 하냐 진짜 보기 싫다 한국 저출산 문제는 사회 문제가 아니고 개인들의 이기적인 심리 때문이야 그 어떤 정치인도 사실을 이야기 안하지만 이미 알고 있을걸 겁쟁이들의 유전자들은 이어지지 않는 것이 좋은거니까 앞으로도 낳지마,영아수당 지급
1896,16,0.1127,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",어르신들 서울 주소로 동거인 신고 많이 하시겠네,영아수당 지급
298,16,0.1111,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",그거 준다고 결혼하고 애 낳겠니집값 때문에 결혼 생각 못하는거 몰라 가진자들이야 껌값이지만 무주택자 인데 자식 집장만 도와줄 능력되겠니 정신차리고 집값 잡아라 다주택자 종부세 강화해서 매물 유도하고 보유세 강화로 투기심리 차단해라그러면 출산률 저절로 해결된다,영아수당 지급
759,16,0.1094,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",근본적인 체질 개선은 없고 돈 파티네,영아수당 지급
