Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1862,12,0.1333,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",중증발달장애인 활동보조 직계존속  가능하게 해달라힘들다고 부정수급 대놓고 안해주면 안한다고 뻐팅기는데 도대체 왜 부정스급 우려로 직계존속 활동보조를 막나 피눈물이 난다,영아수당 지급
778,12,0.1328,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",좀 큰 애들이야 어린이집 정부지원 되니 어린이집이라도 보내고 맞벌이하고 어린이집에서 밥도 먹는데 영유아의 경우 갓난쟁이 육아하는 동안 경제적인 타격이 클수밖에 없다 영유아기에 지원하는게 맞음 큰 애들 돈 드는건 다 학원비인데 그건 부모들이 자기들 욕심에 시켜서 드는 돈임,영아수당 지급
228,12,0.1215,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",급해서 하는거 같긴하지만  가장  효과좋고  지속성이 좋은건 아이들이 커갈수록 부모부담은 줄고  애들 혜택이 많아지는거임  그러면 애들학대나 방치등도 같이 줄어들지도  애들 분위값 기저귀값이 없어서 애를 못낳겠다는건  현실적으로 아직 애를 낳으면 안되는 상황인거고,영아수당 지급
1825,12,0.119,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",분명 이용해 먹는 사람이 다수일텐데멀로확인하는데,영아수당 지급
1325,12,0.1124,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",아니무슨 맨날 국민연금개혁이냐국민연금 이 봉이냐,영아수당 지급
336,12,0.1076,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",난 극구 반대일세 뭐 하잖은 거야 애들 돌보았는지 애를 다른사람한테 맡겨는지 어떻게 알아차라리 누구 말대로 애 낳으면 나라에서 집을 하나 해주던지 이런게 실속있다,영아수당 지급
449,12,0.1014,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",졸라 정책 ㅂㅅ 같음  예전 그많은 출산 장려금도  누구 주머니로 다 갔을까   기득권 엘리트 들이죠  저돈 없어도 애키우고  삽니다  애 낳고 키우는데 제일 힘든건  사교육비 입니다  몇년간 미친듯이 들어가죠  그후엔 취업절벽  그 후엔  집값상승으로  결혼포기 연애포기죠,영아수당 지급
312,12,0.1012,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",집값 내리고 교육비가 내려가야 애를 낳지 그깟 우유값 없어서 애 안낳는 줄 아나,영아수당 지급
465,12,0.101,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",그냥 한방에 목돈 만들어 주지신혼부부 자리 잡을수 있게,영아수당 지급
260,12,0.0986,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",이미 태어난 애들이나 신경써 낳는 걸로 끝이냐 안전하지 않은 세상에서 보호 받지 못해 죽는 애들은 안 보이나봐 부모들이 아이들 맡기고 스스로 일해 자립할 수 있는 분위기를 만들 생각은 않고 집에서 애만 키우라는 거냐 깨진 독에 물 붓기지,영아수당 지급
775,12,0.0981,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",헛소리 하지마 그냥 돈으로  주는게 애들 육아 하기도 편하다 주기로 했으면 줘라 약속 안지킬려고 쇼 하네 이번 만약  뒤짚으면 진짜 전국에부모들 다일어나서 난리날텐데 ,영아수당 지급
271,12,0.0972,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",와 진짜 초딩은 자식도 아닌가 그 영유아 시기 다 거쳐서 지금 초딩 중딩 고딩 되고 있는 애들 지금이 훨씬 더 부모급여가 필요한 시기인데일은 일대로 다 하는데 왜 난 한번도 못받지이런거 보면 참 억울하단 생각뿐이다 난 이나라 국민도 아닌거같다,영아수당 지급
