Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1766,7,0.1667,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",노년에 돈이 무슨소용즐겁게 사셔야지국가가 육아해라,영아수당 지급
477,7,0.1651,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",어린애들 둔 부모만 부모야 클수록 돈이 얼마나 더 많이 들어가는데 이런거 부모급여받을라고 노리고 입양하는 사건 생기는거 아닌가 몰라  옛날에도 그런사건 있지 않았나,영아수당 지급
1903,7,0.1609,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",맡길곳 없고 직장그만두고 육아중인 우리집은 적자에 돈이 더 필요한데 직장다녀서 돈도 잘 벌고 있구만 왜 세금으로 돈을 주지 더 힘든 가정도 많은데 소득 기준을 저소득으로 하면 이해하겠음 어이없는 정책,영아수당 지급
1904,7,0.1452,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",당장 눈앞의 지지율만 생각하느라 이런어처구니없는 법좀만들지마세요먼훗날 아이는 부모손에 안정적으로 자란 아이들이 훨씬 사회에 이바지하는 아이로 자라날꺼에요맞벌이를 왜곡하는댓글은 절대아닙니다 맞벌이 하셔도 전업보다 훨씬 아이들을 잘 돌보는 부모들도 제 주변에 차고 넘치게 많습니다제발 국민들을 돈만주면 헤벌레 하는 사람들처럼 만들지마시고 돈으로 환심을 사려고 하지마세요나라의 곳간을 마구마구쓴후 나중에 국민들이 어려움에 처하는일이 없길바랍니다,영아수당 지급
1753,7,0.1376,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",지들 일한다고 부모님께 또 육아를 시키니 노후에 편하게 계시고 쉬게드려야지 에휴 대단한 집안들이네,영아수당 지급
1900,7,0.1372,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",조부모도 없어서 일그만두고 애보는집은저인간 아직도  보편복지 할거랑  차등둬야 할거랑 아직도 분간 못하는중,영아수당 지급
2037,7,0.1369,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",오세훈잘한다  노인들 용돈벌어서  맛인는음식사드시것다  고마워유  무보수루일햇는대 이젠희망이생기네유 감사해유빨리손주명더낳으라해야곘네,영아수당 지급
1710,7,0.1291,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",차라리 그돈으로 유치원선생님들 월급이나 올려줘라 그러면 유아학대없어진다,영아수당 지급
1887,7,0.117,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",맞벌이 직장 다니는 모든 유아 자녀에게 지급하는것이 정상일듯  아동 돌봄 도우미수당,영아수당 지급
1998,7,0.1168,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",놀고 있는 청년들 월 만원 주는거보다 훨씬 합리적이네,영아수당 지급
115,7,0.1151,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",음다좋아요그런데아이가 행복한나라는 돌봄시간을 늘리는것보다는지원금을 늘리는것보다는부모와함께 할수 있는시간을 늘려주는게 아닐까 생각합니다,영아수당 지급
148,7,0.1111,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",잠깐 돈 지원한다고 아이를 낳아서 키울거 같다고 아직 착각하는 듯 아이 셋 키우는 아빠로서 이런 보여주기식 정책은 의미없다고 봄 근본적으로 아이를 낳고 키우기 좋은 방향을 잡아야 하는데 집 걱정 빚 걱정 이것을 어떻게 해결하느냐가 저출산을 극복하는 길일 듯,영아수당 지급
1631,7,0.1111,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",서울시 돈 많네 내새끼 돌보는데 용돈도 주고,영아수당 지급
331,7,0.1111,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",저출산은 역사 사회 문화 교육 가치관 등등 수많은 문제가  엉켜 있는데 수당으로 해결될 간단한 문제가 아니라고 생각됩니다 아무것도 하지 않는 것보다는 현명한 일이지만,영아수당 지급
2005,7,0.1111,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",포퓰리즘 염병육갑하더니 지도 퍼주고있네,영아수당 지급
1866,7,0.1093,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",손주 맡기는 자식들이 드려야 할 걸 왜 서울이 주는건지 이해가 안간다,영아수당 지급
1884,7,0.1074,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",손주들 돌보는지 어쩌는지 뭘로 증명할건데요 별 쓸데없는 정책하지마세요,영아수당 지급
1807,7,0.1065,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",세금내냐고 등골 휘겠다,영아수당 지급
2000,7,0.1059,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",집에서 육아하는 외벌이 가정에게나 지원금줘라 맞벌이 살만큼산다,영아수당 지급
944,7,0.1055,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",이건 잘한일 같다  프랑스가 인구절벽을 이런정책으로 해결했던거 같다 더 확대해주길 기간 급여량,영아수당 지급
2006,7,0.1032,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",조부모 가 아이양육할   형편이 안되는 사람들은  공평하지 못한대   사람들이  이런거  해준다고  아이를  낳을꺼라구  생각하나  참  한심하네,영아수당 지급
59,7,0.1032,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",남녀 차별하지않는 세상입니다양육비를 지급하지않는  부모나아이 면접교섭 또한 법으로 정해진 의무입니다 이런저런 핑계 및 아이가 보기싫데  등등아이가 직접 의사표현할수도있는데 제자가 직접 전달하는것은 부적절하며거짓말을 할수도있고 등등면접교섭 거부시 천만원 이하의 벌금이 아닌양육비 미지급시  불이행과  동일해야 한다고봄,영아수당 지급
1294,7,0.1009,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",자녀수당으로 해서 자녀이름으로 돈이나가고 출처의 프로이상이 자녀에게 사용되도록 하여야 될것입니다 비정상적인 인간도 자녀수당에프로는 자녀에게밖에 쓸수없도록 규제하여야할것입니다,영아수당 지급
1726,7,0.0998,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",오세후니 이놈은 돈이 썪어나는구나 썪어나,영아수당 지급
632,7,0.0998,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",아이를 어떻게 훈육 해야할 지 모르겠어요 학대 피해 아동들 사연을 보면 대부분이 손댈곳 없는 어리고 작고 힘이없는 애들 뿐이었다 훈육이란 포장지로 되도않는 악랄한 행위를 감싸려고 하는 악마들인거지 얼마전 실화탐사대에서 엄마란 자와 친정 식구 모두가 애들을 때리고 숨못쉬게 이불에 얼굴 가져다 박게하고 욕하고 소리지르는걸 영상으로 다 확인했음에도 그 아이들이 다행히 죽지 않았기에 그들이 받을 처벌은 미미할것 이란 변호사의 말을 들었다 애들이 꼭 죽어나가는걸 봐야만 저런 짐승만도 못한것들이 벌을 받는다는게 어처구니가 없을뿐,영아수당 지급
2051,7,0.0996,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",행정부요 맨날 돈으로 때울게 아니라 여성징병제 추진하시고 대체복무로 요양원 병원 보육원 유치원에 젊은 여자들 투입하세요 싼값에 년 써먹을 수 있어요 가성비 인력 넘쳐날겁니다 젊은 남자들 잘만 써먹으면서 왜 이런걸 못해요 ,영아수당 지급
1552,7,0.0992,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",전국민을 차상위계층으로 만드네  중산층과 서민층은 어찌 살라고 이런식의 행정은 열심히 사는 사람 의욕만 꺽는다,영아수당 지급
964,7,0.0988,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",대는 진작에 대출받아서 아파트 샀으면 이미 부자된거고 지금 대는 대한민국 건국 이래 최악의 세대라 도와주는게 맞는건데 도 자기네들 도와달라고 아우성치는거 대 입장에서 너무 꼴보기 싫다,영아수당 지급
1479,7,0.0984,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",맨날 천날 청년 청년,영아수당 지급
